//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
//,分类,装备名,消耗货币,货币数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量,材料,材料数量
28,5,王者护身,元宝,2000000,梦想神石,88,,,<任意3级三特戒系列*2/FCOLOR=255>,2,<灵符*588/FCOLOR=250>,588,<王者普通戒指系列*1/FCOLOR=252>,1,,
29,6,无上斗笠,元宝,10000000,悟空宝石,10,至尊斗笠,1,,,<灵符*1200/FCOLOR=250>,1200,,,,
30,6,帝王斗笠,元宝,12000000,悟空宝石,20,无上斗笠,1,,,<灵符*1400/FCOLOR=250>,1400,,,,
31,6,一刀斗笠,元宝,14000000,悟空宝石,30,帝王斗笠,1,,,<灵符*1600/FCOLOR=250>,1600,,,,
32,6,烈火斗笠,元宝,16000000,悟空宝石,50,一刀斗笠,1,,,<灵符*1800/FCOLOR=250>,1800,,,,
33,6,蓝月复古斗笠,元宝,18000000,悟空宝石,70,烈火斗笠,1,,,<灵符*2000/FCOLOR=250>,2000,,,,
34,7,无上勋章,元宝,10000000,悟空宝石,10,至尊勋章,1,,,<灵符*1200/FCOLOR=250>,1200,,,,
35,7,帝王勋章,元宝,12000000,悟空宝石,20,无上勋章,1,,,<灵符*1400/FCOLOR=250>,1400,,,,
36,7,一刀勋章,元宝,14000000,悟空宝石,30,帝王勋章,1,,,<灵符*1600/FCOLOR=250>,1600,,,,
37,7,烈火勋章,元宝,16000000,悟空宝石,50,一刀勋章,1,,,<灵符*1800/FCOLOR=250>,1800,,,,
38,7,蓝月复古勋章,元宝,18000000,悟空宝石,70,烈火勋章,1,,,<灵符*2000/FCOLOR=250>,2000,,,,
39,8,无双麻痹,元宝,5000000,轮回竹叶,30,,,<王者特戒系列*1/FCOLOR=251>,1,<灵符*1888/FCOLOR=250>,1888,<无双普通戒指系列*1/FCOLOR=252>,1,,
40,8,无双复活,元宝,5000000,轮回竹叶,30,,,<王者特戒系列*1/FCOLOR=251>,1,<灵符*1888/FCOLOR=250>,1888,<无双普通戒指系列*1/FCOLOR=252>,1,,
41,8,无双护身,元宝,5000000,轮回竹叶,30,,,<王者特戒系列*1/FCOLOR=251>,1,<灵符*1888/FCOLOR=250>,1888,<无双普通戒指系列*1/FCOLOR=252>,1,,
42,8,蓝月复古麻痹,元宝,15000000,命运莲花,5,,,<无双特戒系列*1/FCOLOR=251>,1,<灵符*3888/FCOLOR=250>,3888,<蓝月复古普通戒指系列*1/FCOLOR=252>,1,,
43,8,蓝月复古复活,元宝,15000000,命运莲花,5,,,<无双特戒系列*1/FCOLOR=251>,1,<灵符*3888/FCOLOR=250>,3888,<蓝月复古普通戒指系列*1/FCOLOR=252>,1,,
44,8,蓝月复古护身,元宝,15000000,命运莲花,5,,,<无双特戒系列*1/FCOLOR=251>,1,<灵符*3888/FCOLOR=250>,3888,<蓝月复古普通戒指系列*1/FCOLOR=252>,1,,
